,Country,Player,Runs,MatchDate,Weekday,Ground,Versus,Balls,Centuries,Strike_Rate
31873,Pakistan,Ahmed Shehzad,102,25-04-2011,Mon,Beausejour Cricket Ground,West Indies,148,1,0.6891891891891891
32078,Pakistan,Faisal Iqbal,100,30-11-2002,Sat,Harare Sports Club,Zimbabwe,97,1,1.0309278350515463
32213,Pakistan,Naved Latif,113,02-11-2001,Fri,Sharjah CA Stadium,Sri Lanka,141,1,0.8014184397163121
32366,Pakistan,Moin-Ul-Atiq,105,29-10-1988,Sat,M A Aziz Stadium,Bangladesh,117,1,0.8974358974358975
32835,Scotland,Neil F I McCallum,121,01-04-2009,Wed,Willowmoore Park,Ireland,138,1,0.8768115942028986
32836,Scotland,Neil F I McCallum,100,30-01-2007,Tue,Gymkhana Club Ground,Ireland,92,1,1.0869565217391304
32873,Scotland,David F Watts,101,07-07-2009,Tue,Mannofield Park,Canada,108,1,0.9351851851851852
32904,Scotland,Ryan R Watson,117,18-01-2007,Thu,Mombasa Sports Ground,Canada,116,1,1.0086206896551724
33231,South Africa,Jacques H Kallis,139,04-02-2004,Wed,The Wanderers Stadium,West Indies,142,1,0.9788732394366197
33232,South Africa,Jacques H Kallis,128,16-03-2007,Fri,Warner Park,Netherlands,109,1,1.1743119266055047
33233,South Africa,Jacques H Kallis,125,29-06-2003,Sun,St. Lawrence Ground,Zimbabwe,147,1,0.8503401360544217
33234,South Africa,Jacques H Kallis,121,27-01-2008,Sun,St George's Park,West Indies,133,1,0.9097744360902256
33235,South Africa,Jacques H Kallis,119,22-11-2006,Wed,Kingsmead,India,160,1,0.74375
33236,South Africa,Jacques H Kallis,113,30-10-1998,Fri,Bangabandhu National Stadium,Sri Lanka,100,1,1.13
33237,South Africa,Jacques H Kallis,111,16-01-1998,Fri,W.A.C.A. Ground,New Zealand,140,1,0.7928571428571428
33238,South Africa,Jacques H Kallis,109,03-04-1998,Fri,Kingsmead,Pakistan,114,1,0.956140350877193
33239,South Africa,Jacques H Kallis,109,25-01-2004,Sun,Newlands,West Indies,94,1,1.1595744680851063
33240,South Africa,Jacques H Kallis,107,28-06-2003,Sat,The Oval,England,133,1,0.8045112781954887
33241,South Africa,Jacques H Kallis,107,05-05-2001,Sat,National Cricket Stadium,West Indies,108,1,0.9907407407407407
33242,South Africa,Jacques H Kallis,104,27-02-2010,Sat,Sardar Patel Stadium,India,94,1,1.1063829787234043
33243,South Africa,Jacques H Kallis,104,03-02-2002,Sun,W.A.C.A. Ground,Australia,120,1,0.8666666666666667
33244,South Africa,Jacques H Kallis,101,31-08-2004,Tue,Sinhalese Sports Club Ground,Sri Lanka,127,1,0.7952755905511811
33245,South Africa,Jacques H Kallis,100,14-02-1999,Sun,Carisbrook,New Zealand,117,1,0.8547008547008547
33246,South Africa,Jacques H Kallis,100,27-03-1999,Sat,Eden Park,New Zealand,125,1,0.8
